Drug Name,Condition,Rating,Content
Amoxicillin and Clavulanate,Otitis Media,3,"""The amoxicillin with clavulanate antibiotic didn't work for me and I was on them for 7 days. Two weeks later I ended up on Keflex which is much better and works fast."""
Carbamazepine,Trigeminal Neuralgia,6,"""My father took this drug and it developed into Alzheimer’s or so we thought it turned out to be the meds he was on"""
Oseltamivir,Influenza,5,"Tamiflu (oseltamivir)""Basic onset of flu...coughing,  chills, fever and body aches.  Doctor gave me tamiflu to help expedite flu because a family member was scheduled go surgery and didn't want him to get sick.  Well, three days in, I feel better but can't smell or taste. Freaking me out. ..Hope it's temporary.  May discontinue balance of script."""
Citalopram,Premenstrual Dysphoric DisorderOff-label,9,"""I have been suffering from PMDD for years. During the week before my period, during my period and the 2 days prior to ovulation. It's taken years to get this bad though. I have never got very far with doctors. I was offered hormonal contraception repeatedly and always refused, as I was frightened that it would be enough to tip me over the edge. 
I got to a point where I just couldn't cope with it anymore, and so I spoke to a different doctor, a female doctor who knew me well. I started the usual speech, I even had everything written down, and she stopped me halfway. She knew exactly what to do. 
So, I am now on half cycle 10mg citalopram. I take it when I need to (2 weeks a month). For the first time in years, I feel normal."""
Belbuca,Chronic Pain,1,"""I have Ankylosing Spondylitis, fibromyalgia, osteoarthritis. Have been on pain meds since 1998. I have atrial fibrillation so the doc wanted me off methadone. I have been taking five 5 mg methadone a day with four 20 mg oxy for breakthrough. Like everyone else it used to be a lot higher. Doc had me try the 600 mcg Belbuca. It made me go into rapid withdrawal and I haven’t felt right since. Husband called 911 because my heartbeat went way high and I passed out. I have always reacted to meds differently from most people. Just be careful and start low dose. Sad thing is that my pain went away before it happened."""
Metronidazole,Bacterial Vaginosis,6,"""I am only on day three of this medication and the annoying itchiness has mostly subsided. However, I am a big girl who usually never experiences any harsh side effects with medicine. Yet this makes me very drowsy and cloudy most of the day. Also, DO NOT DRINK ALCOHOL ON THIS MEDICATION. DON'T. It is very dangerous. I didn't think about it on my first day and had one margarita and two beers (which normally, would only give me a slight buzz). I left the party bc I was feeling very tired. By the time I got home you would have though I had been taking shots all night, I felt so intoxicated. I passed right out when I hit the sheets. Very scary."""
Nitrofurantoin,Urinary Tract Infection,2,"Macrobid (nitrofurantoin)""I was prescribed this Macrobid antibiotic for a UTI. It has horrible side effects really bad. The first day I took It I had really bad headaches. The second day I started to feel like I was dying no joke. I wasn't sure what was causing it so I kept taking it now today is the 3rd day and I feel so sick I can't even get out of bed. I have had to call into work twice now because I have no energy to do anything at all. This is the worst experience I have ever had on an antibiotic. """
Donepezil,Alzheimer's Disease,9,"""My 65 yo husband started the 1/2 pill regiment 5 weeks ago. Big improvement in conversations, no longer accusing people of stealing from him. Than we had to wait 5 days for the prescription to be refilled. That was a decline, back to talking to imaginary people, aggressive behavior, no energy. Now he is on the whole pill. Wow, almost back to being pleasant. He takes his in the morning, so no sleep interrupted. Energy back, never had a side affect as far as loss of appetite, weight loss, diarrhea. Early stage of ALZ/ Dementia. Glad he is doing better, still a day to day."""
Doxazosin,Benign Prostatic Hyperplasia,4,"""Used for about 2 weeks, ramped up dosage from 1mg 1st week to 2mg 2nd week (final dosage was to be 4mg). Had a rash with associated itching (initially thought it was Poison Ivy) appeared about 3 days after treatment started and became severe during second week. Still waiting for rash to completely go away 1 week after stopping treatment. Did help to improve urine flow and reduced urgency feelings I was having about every 2 hours to about 6 hours. I could sleep through the night! No other noticeable side effects."""
Fluoxetine,Anxiety and Stress,6,"""Started 6th of May so hasn't been long. Suffered severe Post-Natal Depression with youngest child 9 years ago, got over that and have been fine up until recently. I had a miscarriage over Christmas and over the months following  found myself getting very low again but most of all noticed the anxiety, hypochondria and irritation. Doctor put me 20mg Fluoxetine a day and seems to be good so far. Definately less anxiety but also definately lack of energy and  I have tiredness. No matter how much sleep I get I feel like a Zombie in the morning and yawn a lot until I have some coffee. My sense of humour, libido and appetite have decreased but I am putting that down to 'can't be bothered' feeling. Sticking with it for now. Gives hangover from hell too!!!"""
Mirtazapine,AnxietyOff-label,10,"""For me amazing meds, I take 2 pills of 45mg each day and it has done wonders for me. Its a drug kinda like Xanax but a lot stronger, if you like Xanax you will LOVE Mirtezapine (45mg twice a day)"""
